"General","Done","To do","Tier","task","cost","reward res","reward exp","cp prod","pop","balance","Exp","Cp","Pop"
"","FALSE","Main Building","3","to 7","2395","1800","30","4","6","1555","450","50","85"
"","FALSE","Culture point production","1","50","","1500","25","","","3355","480","50","85"
"","FALSE","Barracs","2","to 3","2135","600","10","1","4","2720","505","51","89"
"","FALSE","Academy","1","to 1","510","600","10","5","4","2810","515","56","93"
"","FALSE","One cropland","","to 3","695","","","1","0","2715","525","57","93"
"","FALSE","Smithy","1","to 1","1090","600","10","2","4","1625","525","59","97"
"","FALSE","All iron mines","2","all to 3","2265","1800","30","3","6","-40","535","62","103"
"","FALSE","Population","2","100","","3000","50","","","1760","565","62","103"
"","FALSE","All croplands","2","all to 3","2780","1800","30","4","0","1980","615","66","103"
"","FALSE","All woodcutters","2","all to 3","2085","1800","30","3","3","1695","645","69","106"
"Goal: get here in 2h max","FALSE","All clay pits","2","all to 3","2100","1800","30","3","3","1395","675","72","109"
"","FALSE","Cranny","4","to 10","3430","1200","20","3","4","-235","705","75","113"
"","FALSE","Marketplace","3","to 7","4290","1800","30","6","10","-3325","725","81","123"
"","FALSE","Residence","1","to 1","1570","1200","20","2","1","-3095","755","83","124"
"Goal: get here in 12h max","FALSE","Complete economy","2","all res to 4","16610","4800","80","0","12","-18505","775","83","136"
"","FALSE","Crannies","","8x to 3","4080","","","16","0","-17785","855","99","136"
"If have a sick spawn and expect to farm 100k+ on day 1, skip Wood/Clay/Iron fields 5 to after party 1. This can result in settling within 92hours as you celebrate party one within 20h. Be aware that the expenses after party 1 are then higher where you'll need a solution for.","FALSE","All croplands","3","all to 5","9725","2700","45","0","0","-27510","855","99","136"
"","FALSE","All clay pits","3","all to 5","7760","2700","45","0","4","-32570","900","99","140"
"","FALSE","All woodcutters","3","all to 5","7780","2700","45","0","4","-37650","945","99","144"
"","FALSE","All iron mines","3","all to 5","8400","2700","45","0","8","-43350","990","99","152"
"","FALSE","Population","3","150","","4500","75","","","-40650","1035","99","152"
"","FALSE","Main Building","","to 8","1075","","","2","2","-37225","1110","101","154"
"","FALSE","Culture point production","2","100","","3000","50","","","-37225","1110","101","154"
"","FALSE","Main Building","4","to 12","8235","2400","40","9","8","-42460","1160","110","162"
"","FALSE","Academy","2","to 10","19165","1200","20","20","23","-59225","1200","130","185"
"","FALSE","Workplace","1","to 1","1895","2400","40","4","3","-59920","1220","134","188"
"","FALSE","Town hall","1","to 1","4220","2400","40","6","4","-61740","1260","140","192"
"Goal: get party 1 in 48h max","FALSE","Marketplace","","to 10","7500","","","8","9","-66840","1300","148","201"
"","FALSE","Granary","3","to 7","3415","900","15","2","4","-70255","1300","150","205"
"So here comes the tricky part! I've designed the build-up to have one decisive moment and that's here. Pay attention!
If you have farmed well and you have done party 1 faster than 48h you've too less CP generated out of the regular production/ hour. This needs to be compensated and this is done by upgrading crannies to 7. It is critical to calculate how much CP you need and therewith know how much you lack. Determine how much CP you need to compensate and use the crannies to fix it. Remember you have at least 3 parties and about 60h of production to compensate the missed CP. Be aware; 1 is neccessary for getting 250 pop.","FALSE","Culture point production","2","150","","4500","75","","","-69355","1315","150","205"
"","FALSE","Warehouse","3","to 7","5295","900","15","2","4","-70150","1390","152","209"
"","FALSE","Residence ","","to 3","4585","2400","40","1","2","-73835","1405","153","211"
"","FALSE","Warehouse","","to 8","2360","","","0","1","-73795","1445","153","212"
"","FALSE","Party 1","","","20330","2400","40","","","-94125","1445","153","212"
"","FALSE","Marketplace","4","to 12","9155","2400","40","8","6","-100880","1485","161","218"
"","FALSE","Crannies","","TBD to 7","4905","","3","6","6","-103385","1525","167","224"
"","FALSE","Embassy","","to 6","6015","","","7","10","-109400","1570","174","234"
"","FALSE","Smithy ","","to 3","2570","","","1","4","-111970","1570","175","238"
"","FALSE","Remove 1 Cranny","","to 0","","","","-2","0","-111970","1570","173","238"
"","FALSE","Stable ","","to 3","2825","1800","30","3","11","-114795","1570","176","249"
"","FALSE","Residence","","to 7","19510","3600","60","4","4","-132505","1600","180","253"
"","FALSE","Residence","","to 8","8840","","","2","1","-137745","1660","182","254"
"","FALSE","Population","4","250","","6000","100","","","-137745","1660","182","254"
"","FALSE","Party 2","","","20330","","","","","-152075","1760","182","254"
"","FALSE","Residence","","to 10","25795","4800","80","3","2","-177870","1760","185","256"
"","FALSE","Train settler(s)","","1","18100","","","","","-191170","1840","185","256"
"","FALSE","Party 3","","","20330","","","","","-211500","1840","185","256"
"","FALSE","Train settler(s)","","2","36200","","","","","-247700","1840","185","256"
"","FALSE","Party 4","","","20330","","","","","-268030","1840","185","256"
"","FALSE","Don't forget about the 3k resc for launching!","","","3000","","","","","-271030","1840","185","256"
"If you went like really fast, due to a good spawn or bossing it yourself, you might run into some CP related issues. Speeding up the process before party 1 results in less time where CP gets generated by the CP production. To cope with this below an overview of the cheaper CP per resc buildings. 
Some tips regarding upgrading your town hall are also included. It can be profitable to upgrade your town hall to get the CP from a party faster.","","","","","","","","","","","","",""
"Pro tip: If resc income is more than you need and you have room for speeding up your settling time, check for upping your town hall to shorten the party duration and have CP of a party faster. ","","","","","","","","","","","","",""
"","FALSE","Embassy","","to 9","9295","1033","","9","6","-277325","","194","262"
"","FALSE","Main building","","to 14","8380","1048","","8","4","-285705","","202","266"
"","FALSE","Academy","","to 11","6020","1204","","5","3","-291725","","207","269"
"","FALSE","Main building","","to 15","6025","1205","","5","2","-297750","","212","271"
"","FALSE","Embassy ","","to 10","4985","1246","","4","2","-302735","","216","273"
"","FALSE","Marketplace","","to 14","14995","1250","","12","6","-317730","","228","279"
"","FALSE","Rallypoint","","to 3","1250","1250","","1","2","-318980","","229","281"
"","FALSE","Embassy","","to 11","6375","1275","","5","3","-325355","","234","284"
"Important reminder: a party in queue will not be shortened in duration when upping TH. When upgrading CP (while having a party in queue) the increase will be given when next party starts.","FALSE","Academy","","to 12","7710","1285","","6","3","-333065","","240","287"
"","FALSE","Main building ","","to 16","7710","1285","","6","3","-340775","","246","290"
"","FALSE","Embassy","","to 12","8160","1360","","6","3","-348935","","252","293"
"","FALSE","Culture point production","4","250","","9000","150","","","-348935","","258","296"
"","FALSE","Main Building ","","to 18","22495","1406","","16","6","-371430","","264","299"
"","FALSE","Academy ","","to 13","9865","1644","","6","3","-381295","","264","299"
"","FALSE","Cranny sims","","All to 10","28600","1430","","20","30","-409895","","280","305"
