"General","Done","To do","Tier","task","cost","reward res","reward exp","cp prod","pop","balance","Exp","Cp","Pop"
"","FALSE","All woodcutters","2","all to 3","2085","1800","30","3","3","2675","615","65","106"
"","FALSE","All croplands","2","all to 3","2780","1800","30","4","0","1695","645","69","106"
"Goal: get here in 2h max","FALSE","All clay pits","2","all to 3","2100","1800","30","3","3","1395","675","72","109"
"","FALSE","Cranny","4","to 10","3430","1200","20","3","4","-235","705","75","113"
"","FALSE","Residence","1","to 1","1570","1200","20","2","1","-605","725","77","114"
"","FALSE","Marketplace","3","to 7","4290","1800","30","6","10","-3695","745","83","124"
"","FALSE","Crannies","","8x to 3","4080","","","16","0","-5975","775","99","124"
"","FALSE","Academy","","to 2","650","","","1","2","-6625","775","100","126"
"","FALSE","Culture point production","2","100","","3000","50","","","-6625","775","100","126"
"Goal: get here in 12h max","FALSE","Complete economy","2","all res to 4","16610","4800","80","0","12","-20235","825","100","138"
"","FALSE","Main Building","4","to 12","9310","2400","40","11","10","-24745","905","111","148"
"So here comes the tricky part! Pay attention!
If you have farmed well and you have done party 1 faster than 48h you've too less CP generated out of the regular production/ hour. This needs to be compensated and this is done by upgrading your CP production. It is critical to calculate how much CP you need and therewith know how much you lack. Determine how much CP you need to compensate and use the table below to fix it  (underneath the regular tasks to do there is a list made of cheap buildings for CP). Remember you have 3 parties and at least 48h of production to compensate the missed CP.","FALSE","Population","3","150","","4500","75","","","-22345","945","111","148"
"","FALSE","Academy","2","to 10","18515","1200","20","19","21","-36360","1020","130","169"
"","FALSE","Workplace","","to 1","1895","2400","40","4","3","-37055","1040","134","172"
"","FALSE","Town hall","1","to 1","4220","2400","40","6","4","-38875","1080","140","176"
"","FALSE","Warehouse","3","to 7","5295","900","15","2","4","-41770","1120","142","180"
"","FALSE","Culture point production","2","150","","4500","75","","","-40870","1135","142","180"
"","FALSE","Marketplace","","to 10","7500","","","8","9","-43870","1210","150","189"
"","FALSE","All croplands","3","all to 5","11670","2700","45","0","0","-55540","1210","150","189"
"","FALSE","All clay pits","3","all to 5","7760","2700","45","0","4","-60600","1255","150","193"
"","FALSE","All woodcutters","3","all to 5","7780","2700","45","0","4","-65680","1300","150","197"
"","FALSE","All iron mines","3","all to 5","8400","2700","45","0","8","-71380","1345","150","205"
"","FALSE","Marketplace","4","to 12","9155","2400","40","8","6","-77835","1390","158","211"
"","FALSE","Croplands","3","1x to 7","8675","1800","30","2","2","-84110","1430","160","213"
"","FALSE","Granary","3","to 7","3415","900","15","2","4","-85725","1460","162","217"
"","FALSE","Crannies","","8x to 7","13080","","","16","16","-97905","1475","178","233"
"","FALSE","Embassy","","to 6","6015","","","7","10","-103920","1475","185","243"
"","FALSE","Embassy","","to 9","9295","","","9","6","-113215","1475","194","249"
"","FALSE","Residence ","2","to 3","4585","2400","40","1","2","-117800","1475","195","251"
"","FALSE","Main building","","to 14","8380","","","8","4","-123780","1515","203","255"
"","FALSE","Population","4","250","","6000","100","","","-123780","1515","203","255"
"","FALSE","Residence ","3","to 7","19810","3600","60","4","4","-137590","1615","207","259"
"","FALSE","Warehouse","","to 8","2360","","","0","1","-136350","1675","207","260"
"Goal: get here in 72h max","FALSE","Party 1","","","20330","2400","40","","","-156680","1675","207","260"
"","FALSE","Residence","4","to 10","34635","4800","80","5","3","-188915","1715","212","263"
"For accurate settler costs select tribe above!","FALSE","Train settler","","1","18100","","","","","-202215","1795","212","263"
"","FALSE","Party 2","","","20330","","","","","-222545","1795","212","263"
"","FALSE","Train settlers","","2","36200","","","","","-258745","1795","212","263"
"","FALSE","Party 3","","","20330","","","","","-279075","1795","212","263"
"","FALSE","Don't forget about the 3k resc for launching!","","","3000","","","","","-282075","1795","212","263"
"If you went like really fast, due to a good spawn or bossing it yourself, you might run into some CP related issues. Speeding up the process before party 1 results in less time where CP gets generated by the CP production. To cope with this below an overview of the cheaper CP per resc buildings. 
Some tips regarding upgrading your town hall are also included. It can be profitable to upgrade your town hall to get the CP from a party faster.","","","","","","","","","","","","",""
"Pro tip: If resc income is more than you need and you have room for speeding up your settling time, check for upping your town hall to shorten the party duration and have CP of a party faster. ","","","","","","","","","","","","",""
"","FALSE","Embassy","","to 9","9295","1033","","9","6","-231840","","221","269"
"","FALSE","Main building","","to 14","8380","1048","","8","4","-240220","","229","273"
"","FALSE","Academy","","to 11","6020","1204","","5","3","-246240","","234","276"
"","FALSE","Main building","","to 15","6025","1205","","5","2","-252265","","239","278"
"","FALSE","Embassy ","","to 10","4985","1246","","4","2","-257250","","243","280"
"","FALSE","Marketplace","","to 14","14995","1250","","12","6","-272245","","255","286"
"","FALSE","Culture point production","4","250","","6000","100","","","-272245","","255","286"
"","FALSE","Rallypoint","","to 3","1250","1250","","1","2","-273495","","256","288"
"Important reminder: a party in queue will not be shortened in duration when upping TH. When upgrading CP (while having a party in queue) the increase will be given when next party starts.","FALSE","Embassy","","to 11","6375","1275","","5","3","-279870","","261","291"
"","FALSE","Academy","","to 12","7710","1285","","6","3","-287580","","267","294"
"","FALSE","Main building ","","to 16","7710","1285","","6","3","-295290","","273","297"
"","FALSE","Embassy","","to 12","8160","1360","","6","3","-303450","","279","300"
"","FALSE","Main Building ","","to 18","22495","1406","","16","6","-325945","","295","306"
"","FALSE","Academy ","","to 13","9865","1644","","6","3","-335810","","301","309"
"","FALSE","Cranny sims","","All to 10","28600","1430","","20","30","-364410","","321","339"
