"General","Done","To do","Tier","task","cost","reward res","reward exp","cp prod","pop","balance","Exp","Cp","Pop"
"","FALSE","Main Building","3","to 7","2395","1800","30","4","6","1555","450","50","85"
"","FALSE","Culture point production","1","50","","1500","25","","","3355","480","50","85"
"","FALSE","Barracs","2","to 3","2135","600","10","1","4","2720","505","51","89"
"","FALSE","Academy","1","to 1","510","600","10","5","4","2810","515","56","93"
"","FALSE","One cropland","","to 3","695","","","1","0","2715","525","57","93"
"For farming it will be difficult to determine how many units to make. In the sheet we added some general calculations which can help to determine if you can make it profitable. 
Recommended numbers are: 
- 7 to 12 for Cavalry 
- 30 to 60 for Infantery. 
Timing of making units is also important, oasis only produce after all animals are killed. So to start with farming units right away is not recommended. Most efficient amount of farm units is situational. Base this number on touch and feel results on nearby oasis.","FALSE","Smithy","1","to 1","1090","600","10","2","4","1625","525","59","97"
"","FALSE","All iron mines","2","all to 3","2265","1800","30","3","6","-40","535","62","103"
"","FALSE","Population","2","100","","3000","50","","","1760","565","62","103"
"","FALSE","All croplands","2","all to 3","2780","1800","30","4","0","1980","615","66","103"
"","FALSE","All woodcutters","2","all to 3","2085","1800","30","3","3","1695","645","69","106"
"","FALSE","All clay pits","2","all to 3","2100","1800","30","3","3","1395","675","72","109"
"","FALSE","Cranny","4","to 10","3430","1200","20","3","4","-235","705","75","113"
"","FALSE","Residence","1","to 1","1570","1200","20","2","1","-605","725","77","114"
"","FALSE","Marketplace","3","to 7","4290","1800","30","6","10","-3695","745","83","124"
"","FALSE","Crannies","","7x to 3","3570","","","14","0","-5465","775","97","124"
"","FALSE","One cropland","","1x to 4","1165","","","0","0","-6630","775","97","124"
"","FALSE","Smithy","","to 3","2570","","","1","4","-9200","775","98","128"
"","FALSE","Academy","","to 5","3915","","","5","8","-13115","775","103","136"
"","FALSE","Culture point production","2","100","","3000","50","","","-13115","775","103","136"
"","FALSE","One cropland","","1x to 4","1165","","","0","0","-11280","825","103","136"
"","FALSE","Stable ","1","to 1","720","600","10","2","5","-12000","825","105","141"
"","FALSE","Stable ","2","to 3","2105","1200","20","1","6","-13505","835","106","147"
"","FALSE","Population","3","150","","4500","75","","","-12305","855","106","147"
"Important reminder: TT & EI can be sent solo to an empty oasis!","FALSE","N/A","","","","","","","","-7805","930","106","147"
"","FALSE","Research","","Theutates Thunders","6660","","","","","-14465","930","106","147"
"","FALSE","Farm units","8","to make","8720","15380","205","641","320","-23185","930","106","147"
"Goal: reach here in 12/16h","FALSE","Complete economy","2","all res to 4","14280","4800","80","0","12","-37465","930","106","159"
"","FALSE","All croplands","3","all to 5","9725","2700","45","0","0","-47190","1010","106","159"
"","FALSE","Main Building","4","to 12","9310","2400","40","11","10","-56500","1055","117","169"
"","FALSE","Academy","2","to 10","15250","1200","20","15","15","-71750","1095","132","184"
"","FALSE","Workplace","","to 1","1895","2400","40","4","3","-73645","1115","136","187"
"","FALSE","Town hall","1","to 1","4220","2400","40","6","4","-77865","1155","142","191"
"","FALSE","Embassy","","to 6","6015","","","7","10","-83880","1195","149","201"
"","FALSE","Culture point production","2","150","","4500","75","","","-83880","1195","149","201"
"","FALSE","Warehouse","3","to 7","5295","900","15","2","4","-89175","1270","151","205"
"","FALSE","Warehouse","","to 8","2360","","","0","1","-91535","1285","151","206"
"Goal: party 1 in max 48h","FALSE","Party 1","","","20330","2400","40","","","-111865","1285","151","206"
"Check here which fields you want to upgrade based on ROI or invest more in farm units, bare in mind you already farm and get more resc income. Might be better to focus more on CP production, since that needs to go up anyway to make it in 4 parties. Nonetheless ROI for the fields 5 are:
Wood - 67,4h
Clay - 67,7h
Iron - 82,5h
Crop - 76,7h
ROI is calculated with the reward cashed with hero level 6. Iron mines are not recommended to do in any situation, but is a possibility. ","FALSE","Farm units","8","to make","8720","8720","116","363","182","-120585","1325","151","388"
"","FALSE","All clay pits","3","all to 5","7760","2700","45","0","4","-128345","1441","151","392"
"","FALSE","All woodcutters","3","all to 5","7780","2700","45","0","4","-136125","1486","151","396"
"","FALSE","All iron mines","3","all to 5","8400","2700","45","0","8","-144525","1531","151","404"
"","FALSE","Marketplace","4","to 12","16655","2400","40","16","15","-161180","1576","167","419"
"","FALSE","Granary","3","to 7","3415","900","15","2","4","-164595","1616","169","423"
"","FALSE","Crannies","","7x to 7","11445","","","14","14","-176040","1631","183","437"
"","FALSE","Population","4","250","","6000","100","","","-176040","1631","183","437"
"","FALSE","Residence ","","to 3","4585","2400","40","1","2","-180625","1731","184","439"
"","FALSE","Residence ","","to 7","19810","3600","60","4","4","-200435","1771","188","443"
"","FALSE","Party 2","","","20330","","","0","","-220765","1831","188","443"
"","FALSE","Residence","","to 10","34635","4800","20","5","3","-255400","1831","193","446"
"","FALSE","Train settler(s)","","1","18100","","","","","-273500","1851","193","446"
"","FALSE","Party 3","","","20330","","","0","","-293830","1851","193","446"
"","FALSE","Train settler(s)","","2","36200","","","","","-330030","1851","193","446"
"","FALSE","Party 4","","","20330","","","0","","-350360","1851","193","446"
"","FALSE","Don't forget about the 3k resc for launching!","","","3000","","","","","-353360","1851","193","446"
"If you went like really fast, due to a good spawn or bossing it yourself, you might run into some CP related issues. Speeding up the process before party 1 results in less time where CP gets generated by the CP production. To cope with this below an overview of the cheaper CP per resc buildings. 
Some tips regarding upgrading your town hall are also included. It can be profitable to upgrade your town hall to get the CP from a party faster.","","","","","","","","","","","","",""
"Pro tip: If resc income is more than you need and you have room for speeding up your settling time, check for upping your town hall to shorten the party duration and have CP of a party faster. ","","","","","","","","","","","","",""
"","FALSE","Embassy","","to 9","9295","1033","","9","6","-359655","","202","452"
"","FALSE","Main building","","to 14","8380","1048","","8","4","-368035","","210","456"
"","FALSE","Academy","","to 11","6020","1204","","5","3","-374055","","215","459"
"","FALSE","Main building","","to 15","6025","1205","","5","2","-380080","","220","461"
"","FALSE","Embassy ","","to 10","4985","1246","","4","2","-385065","","224","463"
"","FALSE","Marketplace","","to 14","14995","1250","","12","6","-400060","","236","469"
"","FALSE","Rallypoint","","to 3","1250","1250","","1","2","-401310","","237","471"
"","FALSE","Embassy","","to 11","6375","1275","","5","3","-407685","","242","474"
"Important reminder: a party in queue will not be shortened in duration when upping TH. When upgrading CP (while having a party in queue) the increase will be given when next party starts.","FALSE","Academy","","to 12","7710","1285","","6","3","-415395","","248","477"
"","FALSE","Main building ","","to 16","7710","1285","","6","3","-423105","","254","480"
"","FALSE","Embassy","","to 12","8160","1360","","6","3","-431265","","260","483"
"","FALSE","Culture point production","4","250","","6000","100","","","-431265","","260","483"
"","FALSE","Main Building ","","to 18","22495","1406","","16","6","-453760","","276","489"
"","FALSE","Academy ","","to 13","9865","1644","","6","3","-463625","","282","492"
"","FALSE","Cranny sims","","All to 10","28600","1430","","20","30","-492225","","302","522"
